1,Основные понятия и определения теории информации. Взаимодействие источника и получателя информации в информационных процессах.
2,Структура и принцип действия цифровой вычислительной машины.
3,Принципы фон Неймана и их связь с особенностями обработки информации в современных ЭВМ.
4,Уровни представления данных в компьютерных системах.
5,Простейшие (примитивные) типы данных. Особенности их представления в ЦВМ.
6,Числовые данные. Основные виды чисел. Позиционная система счисления.
7,Перевод чисел из одной системы счисления в другую.
8,Формы представления чисел в разрядной сетке вычислительной машины. Представление целых чисел без знака и со знаком. Числа с фиксированной точкой.
9,Формы представления чисел с плавающей точкой в разрядной сетке вычислительной машины.
10,Представление чисел со знаком. Числа в прямом и дополнительном кодах.
11,Обработка переполнения разрядной сетки при сложении чисел в дополнительном коде.
12,Арифметические операции с числами с плавающей точкой (сложение и умножение).
13,Особенности выполнения умножения в вычислительной машине.
14,Диапазон представления чисел в различных форматах для двоичной системы счисления.
15,Представление символьных данных в компьютерных системах. Кодовые таблицы. Проблема кодирования символов национальных алфавитов.
16,"Представление символьных данных в компьютерных системах в формате UNICODE. Особенности  UCS, UTF-8, UNF-16, UTF-32"
17,"Аддитивная мера количества информации Хартли. Определение, свойста, применение"
18,"Статистическая мера количества информации Шеннона. Определение, свойста, применение"
19,Теоретические основы эффективного кодирования. Теорема Шеннона об эффективном кодировании.
20,Алгоритм Шеннона-Фано.
21,Алгоритм Хаффмана.
22,"Основы теории помехоустойчивого кодирования. Понятие кодового расстояния, минимальное расстояние кода. Графическое представление помехоустойчивого кода."
23,Корректирующая способность помехоустойчивого кода.
24,Помехоустойчивые коды с проверкой на четность.
